1pl.abs	личный префикс, абсолютив
1pl.erg	личный префикс, эргатив
1pl.io	личный префикс, косвенный объект
1pl.pr	посессивный показатель
1sg.abs	личный префикс, абсолютив
1sg.erg	личный префикс, эргатив
1sg.io	личный префикс, косвенный объект
1sg.pr	посессивный показатель
2pl.abs	личный префикс, абсолютив
2pl.erg	личный префикс, эргатив
2pl.io	личный префикс, косвенный объект
2pl.pr	посессивный показатель
2sg.abs	личный префикс, абсолютив
2sg.erg	личный префикс, эргатив
2sg.io	личный префикс, косвенный объект
2sg.pr	посессивный показатель
3pl.erg	личный префикс, эргатив
3pl.erg	личный префикс, эргатив
3pl.io	личный префикс, косвенный объект
3pl.pr	посессивный показатель
3sg.erg	личный префикс, эргатив
3sg.io	личный префикс, косвенный объект
abs	абсолютив
add	аддитив
adj	адъективизатор
adv	адвербиалис
allat	аллативный суффикс
ap	антипассив
apl	ассоциативное множественное число
aug	аугментатив
aux	морфологизованный вспомогательный глагол
ben	бенефактив
caus	каузатив
circ	движение вокруг
cnv	конверб
com	комитатив
cond	кондиционалис
coord	показатель сочинения
cs	консекутив
dat	дативный аппликатив
dfcl	дифицилитив ('трудно')
dir	директив
down	показатель 'вниз'
dur	'на протяжении’
dyn	динамичность
elat	элативный суффикс
emp	эмфаза
fcl	фацилитив ('легко')
freq	фреквентатив
fut	будущее время
hes	хезитация
hort	гортатив
.imp	императив
inc	инцептив
inch	инхоатив 
ins	инструменталис
int	интенсивность
interj	междометие
ipf	имперфект
juss	юссив
lat	лативный суффикс
lim	лимитатив
lnk	линкер при числительных
loc	локативный преверб
mal	малефактив
neg	отрицание
nml	номинализация
obl	косвенный падеж
obl.pl	косвенный падеж, множественное число 
ord	порядковое числительное
pl	множественное число
poss	посессив
pot	потенциалис
pred	предикативный показатель / копула
pref	префикс при глаголе 'сказать'
pst	прошедшее время
ptcl	частица
q	вопрос
quot	квотатив
re	рефактив/реверсив
rec.erg	реципрок
rec.io	реципрок
rel.erg	относительный префикс
rel.io	релятивизация косвенного объекта
rel.mnr	релятивизация способа действия
rel.pr	релятивизация посессора
res	результатив
rfl.abs	рефлексив
rfl.io	рефлексив
rs	ретроспективный сдвиг
rsn	причинный аппликатив (при релятивизации)
sim	конверб одновременности
suf	неразобранный суффикс
temp	темпоральный аппликатив (при релятивизации)
up	показатель 'вверх'
